"sex"	"weight"
"137"	"F"	53
"138"	"F"	45
"139"	"F"	60
"140"	"F"	52
"141"	"F"	53
"142"	"F"	62
"143"	"F"	58
"144"	"F"	54
"145"	"F"	58
"146"	"F"	57
"147"	"F"	63
"148"	"F"	56
"149"	"F"	58
"150"	"F"	57
"151"	"F"	53
"152"	"F"	55
"153"	"F"	63
"154"	"F"	51
"155"	"F"	56
"156"	"F"	62
"157"	"F"	54
"158"	"F"	50
"159"	"F"	51
"160"	"F"	53
"161"	"F"	51
"162"	"F"	54
"163"	"F"	53
"164"	"F"	54
"165"	"F"	57
"166"	"F"	58
"167"	"F"	63
"168"	"F"	55
"169"	"F"	53
"170"	"F"	62
"171"	"F"	64
"172"	"F"	55
"173"	"F"	53
"174"	"F"	46
"175"	"F"	62
"176"	"F"	51
"177"	"F"	49
"178"	"F"	70
"179"	"F"	56
"180"	"F"	55
"181"	"F"	41
"182"	"F"	55
"183"	"F"	60
"184"	"F"	57
"185"	"F"	60
"186"	"F"	65
"187"	"F"	61
"188"	"F"	52
"189"	"F"	59
"190"	"F"	54
"191"	"F"	52
"192"	"F"	41
"193"	"F"	51
"194"	"F"	57
"195"	"F"	66
"196"	"F"	58
"197"	"F"	58
"198"	"F"	50
"199"	"F"	56
"200"	"F"	45
"201"	"M"	67
"202"	"M"	68
"203"	"M"	66
"204"	"M"	69
"205"	"M"	67
"206"	"M"	69
"207"	"M"	74
"208"	"M"	71
"209"	"M"	65
"210"	"M"	59
"211"	"M"	67
"212"	"M"	63
"213"	"M"	72
"214"	"M"	57
"215"	"M"	63
"216"	"M"	67
"217"	"M"	64
"218"	"M"	62
"219"	"M"	63
"220"	"M"	68
"221"	"M"	69
"222"	"M"	68
"223"	"M"	76
"224"	"M"	71
"225"	"M"	66
"226"	"M"	62
"227"	"M"	80
"228"	"M"	68
"229"	"M"	62
"230"	"M"	66
"231"	"M"	63
"232"	"M"	64
"233"	"M"	60
"234"	"M"	66
"235"	"M"	67
"236"	"M"	60
"237"	"M"	49
"238"	"M"	64
"239"	"M"	65
"240"	"M"	68
"241"	"M"	65
"242"	"M"	67
"243"	"M"	60
"244"	"M"	69
"245"	"M"	69
"246"	"M"	66
"247"	"M"	72
"248"	"M"	67
"249"	"M"	66
"250"	"M"	66
"251"	"M"	67
"252"	"M"	70
"253"	"M"	67
"254"	"M"	68
"255"	"M"	59
"256"	"M"	63
"257"	"M"	72
"258"	"M"	59
"259"	"M"	66
"260"	"M"	67
"261"	"M"	70
"262"	"M"	63
"263"	"M"	66
"264"	"M"	56
"265"	"M"	67
"266"	"M"	62
"267"	"M"	64
"268"	"M"	59
"269"	"M"	67
"270"	"M"	68
"271"	"M"	63
"272"	"M"	74
"273"	"M"	68
"274"	"M"	70
"275"	"M"	75
"276"	"M"	62
"277"	"M"	69
"278"	"M"	70
"279"	"M"	65
"280"	"M"	67
"281"	"M"	60
"282"	"M"	67
"283"	"M"	61
"284"	"M"	69
"285"	"M"	61
"286"	"M"	67
"287"	"M"	61
"288"	"M"	64
"289"	"M"	57
"290"	"M"	66
"291"	"M"	70
"292"	"M"	66
"293"	"M"	56
"294"	"M"	62
"295"	"M"	73
"296"	"M"	74
"297"	"M"	59
"298"	"M"	63
"299"	"M"	67
"300"	"M"	67
"301"	"M"	62
"302"	"M"	60
"303"	"M"	64
"304"	"M"	70
"305"	"M"	65
"306"	"M"	62
"307"	"M"	62
"308"	"M"	73
"309"	"M"	63
"310"	"M"	69
"311"	"M"	72
"312"	"M"	67
"313"	"M"	63
"314"	"M"	65
"315"	"M"	63
"316"	"M"	71
"317"	"M"	64
"318"	"M"	73
"319"	"M"	62
"320"	"M"	62
"321"	"M"	66
"322"	"M"	65
"323"	"M"	62
"324"	"M"	57
"325"	"M"	65
"326"	"M"	61
"327"	"M"	70
"328"	"M"	60
"329"	"M"	71
"330"	"M"	62
"331"	"M"	66
"332"	"M"	69
"333"	"M"	62
"334"	"M"	68
"335"	"M"	65
"336"	"M"	59
"337"	"M"	64
"338"	"M"	73
"339"	"M"	64
"340"	"M"	61
"341"	"M"	65
"342"	"M"	67
"343"	"M"	70
"344"	"M"	71
"345"	"M"	66
"346"	"M"	71
"347"	"M"	61
"348"	"M"	53
"349"	"M"	63
"350"	"M"	62
"351"	"M"	53
"352"	"M"	68
"353"	"M"	61
"354"	"M"	64
"355"	"M"	57
"356"	"M"	68
"357"	"M"	74
"358"	"M"	61
"359"	"M"	64
"360"	"M"	75
"361"	"M"	70
"362"	"M"	75
"363"	"M"	65
"364"	"M"	64
"365"	"M"	62
"366"	"M"	72
"367"	"M"	59
"368"	"M"	67
"369"	"M"	65
"370"	"M"	76
"371"	"M"	62
"372"	"M"	57
"373"	"M"	66
"374"	"M"	65
"375"	"M"	61
"376"	"M"	66
"377"	"M"	64
"378"	"M"	62
"379"	"M"	68
"380"	"M"	63
"381"	"M"	56
"382"	"M"	52
"383"	"M"	62
"384"	"M"	72
"385"	"M"	69
"386"	"M"	71
"387"	"M"	70
"388"	"M"	67
"389"	"M"	57
"390"	"M"	66
"391"	"M"	73
"392"	"M"	48
"393"	"M"	61
"394"	"M"	71
"395"	"M"	68
"396"	"M"	69
"397"	"M"	67
"398"	"M"	68
"399"	"M"	65
"400"	"M"	60
